GEO,SEX,CAS,LMS,COC,AGE,TIME,VALUE,FLAGS,FOOTNOTES
FR23,M,POP,DIV,TOTAL,Y15-29,2011,463,,
FR23,M,POP,DIV,TOTAL,Y30-49,2011,17209,,
FR23,M,POP,DIV,TOTAL,Y50-64,2011,21336,,
FR23,M,POP,DIV,TOTAL,Y65-84,2011,6302,,
FR23,M,POP,DIV,TOTAL,Y_GE85,2011,262,,
FR23,M,POP,DTHREP,TOTAL,Y15-29,2011,0,,
FR23,M,POP,DTHREP,TOTAL,Y30-49,2011,0,,
FR23,M,POP,DTHREP,TOTAL,Y50-64,2011,0,,
FR23,M,POP,DTHREP,TOTAL,Y65-84,2011,0,,
FR23,M,POP,DTHREP,TOTAL,Y_GE85,2011,0,,
FR23,M,POP,MAR,TOTAL,Y15-29,2011,11011,,
FR23,M,POP,MAR,TOTAL,Y30-49,2011,129150,,
FR23,M,POP,MAR,TOTAL,Y50-64,2011,127305,,
FR23,M,POP,MAR,TOTAL,Y65-84,2011,82784,,
FR23,M,POP,MAR,TOTAL,Y_GE85,2011,7162,,
FR23,M,POP,REP,TOTAL,Y15-29,2011,0,,
FR23,M,POP,REP,TOTAL,Y30-49,2011,0,,
FR23,M,POP,REP,TOTAL,Y50-64,2011,0,,
FR23,M,POP,REP,TOTAL,Y65-84,2011,0,,
FR23,M,POP,REP,TOTAL,Y_GE85,2011,0,,
FR23,M,POP,SIN,TOTAL,Y15-29,2011,161824,,
FR23,M,POP,SIN,TOTAL,Y30-49,2011,93568,,
FR23,M,POP,SIN,TOTAL,Y50-64,2011,22887,,
FR23,M,POP,SIN,TOTAL,Y65-84,2011,6475,,
FR23,M,POP,SIN,TOTAL,Y_GE85,2011,621,,
FR23,M,POP,UNK,TOTAL,Y15-29,2011,7,u,
FR23,M,POP,UNK,TOTAL,Y30-49,2011,7,u,
FR23,M,POP,UNK,TOTAL,Y50-64,2011,4,u,
FR23,M,POP,UNK,TOTAL,Y65-84,2011,0,,
FR23,M,POP,UNK,TOTAL,Y_GE85,2011,0,,
FR23,M,POP,WID,TOTAL,Y15-29,2011,61,,
FR23,M,POP,WID,TOTAL,Y30-49,2011,835,,
FR23,M,POP,WID,TOTAL,Y50-64,2011,4050,,
FR23,M,POP,WID,TOTAL,Y65-84,2011,11068,,
FR23,M,POP,WID,TOTAL,Y_GE85,2011,4390,,
FR24,F,POP,DISREP,TOTAL,Y15-29,2011,0,,
FR24,F,POP,DISREP,TOTAL,Y30-49,2011,0,,
FR24,F,POP,DISREP,TOTAL,Y50-64,2011,0,,
FR24,F,POP,DISREP,TOTAL,Y65-84,2011,0,,
FR24,F,POP,DISREP,TOTAL,Y_GE85,2011,0,,
FR24,F,POP,DIV,TOTAL,Y15-29,2011,1326,,
FR24,F,POP,DIV,TOTAL,Y30-49,2011,30551,,
FR24,F,POP,DIV,TOTAL,Y50-64,2011,37059,,
FR24,F,POP,DIV,TOTAL,Y65-84,2011,14804,,
FR24,F,POP,DIV,TOTAL,Y_GE85,2011,1637,,
FR24,F,POP,DTHREP,TOTAL,Y15-29,2011,0,,
FR24,F,POP,DTHREP,TOTAL,Y30-49,2011,0,,
FR24,F,POP,DTHREP,TOTAL,Y50-64,2011,0,,
FR24,F,POP,DTHREP,TOTAL,Y65-84,2011,0,,
FR24,F,POP,DTHREP,TOTAL,Y_GE85,2011,0,,
FR24,F,POP,MAR,TOTAL,Y15-29,2011,25537,,
FR24,F,POP,MAR,TOTAL,Y30-49,2011,189855,,
FR24,F,POP,MAR,TOTAL,Y50-64,2011,178101,,
FR24,F,POP,MAR,TOTAL,Y65-84,2011,115910,,
FR24,F,POP,MAR,TOTAL,Y_GE85,2011,8050,,
FR24,F,POP,REP,TOTAL,Y15-29,2011,0,,
FR24,F,POP,REP,TOTAL,Y30-49,2011,0,,
